"","...1","id_play","Week","game_id","pos_team","def_pos_team","pos_team_score","def_pos_team_score","kicker_player_name","yds_fg","pts_scored","fgm","fga","fg_make_prob","fg_inds","FG_before","play_text","EPA","wpa","half","period","clock.minutes","clock.seconds","down","distance","yards_to_goal","fg_made","play_type"
"479",479,401411104104926528,2,401411104,"Georgia Tech","Western Carolina",35,17,"Jude Kelley",25,0,0,1,0.897879661726428,1,0.906721521669129,"Jude Kelley 25 yd FG MISSED",-7.79397760314281,0,2,4,7,34,4,5,8,FALSE,"Field Goal Missed"
"480",480,401411104104926528,2,401411104,"Georgia Tech","Western Carolina",35,17,"Jude Kelley",25,0,0,1,0.897879661726428,1,0.906721521669129,"Jude Kelley 25 yd FG MISSED",-2.64271340319056,-0.0030054,2,4,7,34,4,5,8,FALSE,"Field Goal Missed"
"481",481,401411105101985984,2,401411105,"Miami","Southern Mississippi",3,0,"Andres Borregales",30,3,1,1,0.831930173180296,1,0.848881065164052,"Andres Borregales 30 yd FG GOOD",0.648248152842854,0.0384089,1,1,1,39,4,9,13,TRUE,"Field Goal Good"
"482",482,401411105104908800,2,401411105,"Miami","Southern Mississippi",27,7,"Andres Borregales",33,3,1,1,0.786885522472235,1,0.804988061446832,"Andres Borregales 33 yd FG GOOD",0.687440033002912,0.0048575,2,4,9,11,4,6,16,TRUE,"Field Goal Good"
"483",483,401411105104966528,2,401411105,"Miami","Southern Mississippi",30,7,"Andres Borregales",48,3,1,1,0.525812504955746,1,0.546099315857295,"Andres Borregales 48 yd FG GOOD",1.86681795458012,0.0009831,2,4,3,34,4,8,31,TRUE,"Field Goal Good"
"484",484,401411106101875776,2,401411106,"NC State","Charleston Southern",3,0,"Christopher Dunn",46,3,1,1,0.564850075597405,1,0.601005026575269,"Christopher Dunn 46 yd FG GOOD",2.16665390487513,0.0715109,1,1,12,41,4,9,29,TRUE,"Field Goal Good"
"485",485,401411106103889216,2,401411106,"NC State","Charleston Southern",48,0,"Christopher Dunn",45,3,1,1,0.58355174014756,1,0.633289626686795,"Christopher Dunn 45 yd FG GOOD",0.812432196308758,0.0007995,2,3,11,7,4,10,28,TRUE,"Field Goal Good"
"486",486,401411106103926400,2,401411106,"Charleston Southern","NC State",3,48,"Sam Babbush",48,3,1,1,0.525812504955746,1,0.54440300392822,"Sam Babbush 48 yd FG GOOD",3.47625258122684,0.0004727,2,3,7,35,4,5,31,TRUE,"Field Goal Good"
"487",487,401411108101995072,2,401411108,"Virginia Tech","Boston College",10,0,"W. Ross",49,3,1,1,0.505448138230005,1,0.541716566384633,"W. Ross 49 yd FG GOOD",2.43231285784464,0.0114795,1,1,0,48,4,21,32,TRUE,"Field Goal Good"
"488",488,401411108102997696,2,401411108,"Boston College","Virginia Tech",3,16,"Connor Lytton",30,3,1,1,0.831930173180296,1,0.834757741868426,"Connor Lytton 30 yd FG GOOD",0.63227746875853,-0.0264067,1,2,0,22,4,3,13,TRUE,"Field Goal Good"
"489",489,401413204101914432,2,401413204,"Elon","Wofford",3,0,"Skyler Davis",52,3,1,1,0.441981426192982,1,0.480433320967849,"Skyler Davis 52 yd FG GOOD",3.10549876195118,0.1215975,1,1,8,55,4,7,35,TRUE,"Field Goal Good"
"490",490,401413204102907904,2,401413204,"Elon","Wofford",12,0,"Skyler Davis",32,3,1,1,0.802171025258863,1,0.818690116208826,"Skyler Davis 32 yd FG GOOD",0.676051339304594,-0.0271933,1,2,9,20,4,5,15,TRUE,"Field Goal Good"
"491",491,401413215102984512,2,401413215,"Murray State","Jacksonville State",3,7,"Aaron Baum",45,3,1,1,0.58355174014756,1,0.591730623600633,"Aaron Baum 45 yd FG GOOD",1.82418113083446,0.0481549,1,2,1,54,4,6,28,TRUE,"Field Goal Good"
"492",492,4.01413215103e+17,2,401413215,"Jacksonville State","Murray State",10,3,"Alen Karajic",42,3,1,1,0.63737112952654,1,0.63737112952654,"Alen Karajic 42 yd FG GOOD",1.08788661142038,NA,1,2,0,0,3,9,25,TRUE,"Field Goal Good"
"493",493,401413215103996608,2,401413215,"Jacksonville State","Murray State",20,3,"Alen Karajic",26,3,1,1,0.886124175272648,1,0.899520619596272,"Alen Karajic 26 yd FG GOOD",0.299069966373065,0.0120655,2,3,0,33,4,9,9,TRUE,"Field Goal Good"
